canvas	source	text
01 Tasarim Sistemi.dc.html	template	← Prototip ve IA
01 Tasarim Sistemi.dc.html	template	01 Sistem
01 Tasarim Sistemi.dc.html	template	02 Onboarding
01 Tasarim Sistemi.dc.html	template	03 Bugün
01 Tasarim Sistemi.dc.html	template	04 Akış
01 Tasarim Sistemi.dc.html	template	05 Plan
01 Tasarim Sistemi.dc.html	template	06 Asistan
01 Tasarim Sistemi.dc.html	template	07 Hesap
01 Tasarim Sistemi.dc.html	template	08 Durumlar
01 Tasarim Sistemi.dc.html	template	09 Pazarlama
01 Tasarim Sistemi.dc.html	template	01 · Tasarım Sistemi
01 Tasarim Sistemi.dc.html	template	Token adları geliştirme için birebir kullanılabilir. Renk yalnızca anlam taşır; yüzeyler sıcak nötr, marka indigosu AI işaretleri ve birincil aksiyonda. Kartlar gölgeli, çerçevesiz; kesik çerçeve yalnızca “önerilen / henüz gerçek değil” anlamına gelir.
01 Tasarim Sistemi.dc.html	template	RENK · TOKENLAR
01 Tasarim Sistemi.dc.html	template	Kural 1
01 Tasarim Sistemi.dc.html	template	· Kartlarda renkli rozet yalnızca ACİL (coral), SON TARİH (amber), GÜVENLİK (coral), ONAYLANDI (yeşil).
01 Tasarim Sistemi.dc.html	template	Kural 2
01 Tasarim Sistemi.dc.html	template	· Indigo: AI işaretleri (auto_awesome), birincil buton, seçili sekme, bağlantı. Dekor için asla.
01 Tasarim Sistemi.dc.html	template	Kural 3
01 Tasarim Sistemi.dc.html	template	· Metin/zemin kontrastı ≥ 4.5:1; soft zeminlerdeki metinler koyu varyantı kullanır (critical-text vb.).
01 Tasarim Sistemi.dc.html	template	TİPOGRAFİ · GEIST + LORA
01 Tasarim Sistemi.dc.html	template	iOS'ta gövde metinleri için sistem fontuna (SF Pro) düşülebilir; Geist yalnızca başlıklarda korunur. Lora sadece brifing anlatısı, haftalık özet ve taahhüt alıntılarında. Sayılar için
01 Tasarim Sistemi.dc.html	template	tabular-nums
01 Tasarim Sistemi.dc.html	template	(saat, tutar).
01 Tasarim Sistemi.dc.html	template	BOŞLUK · 4'LÜK IZGARA
01 Tasarim Sistemi.dc.html	template	Ekran kenarı 20 · kart içi 16 · kartlar arası 12 · bölümler arası 18–22 · liste satırı min 50.
01 Tasarim Sistemi.dc.html	template	KÖŞE YARIÇAPI · GÖLGE
01 Tasarim Sistemi.dc.html	template	shadow-1
01 Tasarim Sistemi.dc.html	template	shadow-2 · kart
01 Tasarim Sistemi.dc.html	template	shadow-3 · sayfa
01 Tasarim Sistemi.dc.html	template	İKONLAR · MATERIAL SYMBOLS ROUNDED · 20/24 · wght 400 · FILL 0 (aktif: FILL 1)
01 Tasarim Sistemi.dc.html	template	BUTONLAR · 5 VARYANT × DURUMLAR
01 Tasarim Sistemi.dc.html	template	Brifingimi Gör
01 Tasarim Sistemi.dc.html	template	Düzenle
01 Tasarim Sistemi.dc.html	template	Tamam
01 Tasarim Sistemi.dc.html	template	Not Al
01 Tasarim Sistemi.dc.html	template	Geçmişi Sil
01 Tasarim Sistemi.dc.html	template	ghost / text
01 Tasarim Sistemi.dc.html	template	Yanıtla
01 Tasarim Sistemi.dc.html	template	Yanıtla · pressed
01 Tasarim Sistemi.dc.html	template	Hatırlat · secondary
01 Tasarim Sistemi.dc.html	template	Disabled
01 Tasarim Sistemi.dc.html	template	Yükseklikler: 52 (sayfa altı CTA), 48 (kart içi), 40–42 (satır içi), 36 (ghost). Pressed: scale .97 + ton koyulaşır, 120 ms. Loading: metin “…” ile devam eder, spinner soldan; buton kilitlenir.
01 Tasarim Sistemi.dc.html	template	ÇİPLER · ROZETLER
01 Tasarim Sistemi.dc.html	template	Tümü · seçili
01 Tasarim Sistemi.dc.html	template	Önemli
01 Tasarim Sistemi.dc.html	template	Yarın · meta çipi
01 Tasarim Sistemi.dc.html	template	VIP
01 Tasarim Sistemi.dc.html	template	ACİL
01 Tasarim Sistemi.dc.html	template	SON TARİH
